,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
57,1,350,0.005196189880371094,0.0007474110504041054,0.0011999130249023438,0.00039889847738487405,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.9130434782608695,0.939296066252588,0.02676447733347433,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
58,1,350,0.005197381973266602,0.0007480482613708495,0.0009994983673095703,1.0271386732357986e-06,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.9130434782608695,0.939296066252588,0.02676447733347433,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
59,1,350,0.005796003341674805,0.002225745692937936,0.0013991355895996093,0.0004899018001570015,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.9130434782608695,0.939296066252588,0.02676447733347433,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60,1,350,0.004596519470214844,0.0007996797757123008,0.0015999317169189454,0.0004898045107513046,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.9130434782608695,0.939296066252588,0.02676447733347433,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
62,1,350,0.004996871948242188,6.14361702286011e-07,0.001000213623046875,1.7675164215899123e-06,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.9130434782608695,0.939296066252588,0.02676447733347433,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
63,1,350,0.0041979789733886715,0.0003995182228634183,0.0011989116668701173,0.00039904144293596155,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.9130434782608695,0.939296066252588,0.02676447733347433,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
61,1,350,0.006195592880249024,0.002398824769970455,0.00099945068359375,6.397441799640054e-07,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.9130434782608695,0.939296066252588,0.02676447733347433,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
64,1,350,0.004996824264526367,8.035802624870642e-07,0.0015995025634765625,0.0004898429878647236,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.8985507246376812,0.9363975155279503,0.030035521437812112,18,0.996415770609319,1.0,1.0,1.0,1.0,0.9992831541218639,0.0014336917562724149
65,1,350,0.0055962085723876955,0.000799620305691919,0.0015994071960449218,0.0004898626035770523,100,4,sigmoid,0.0001,"{'C': 100, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.8985507246376812,0.9363975155279503,0.030035521437812112,18,0.996415770609319,1.0,1.0,1.0,1.0,0.9992831541218639,0.0014336917562724149
66,1,350,0.0055963993072509766,0.0007991794754610002,0.0013994216918945313,0.0004896681523801292,1000,3,sigmoid,0.0001,"{'C': 1000, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.8840579710144928,0.9334989648033126,0.0339873597029081,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
67,1,350,0.005196714401245117,0.0003996382890702304,0.0011996746063232422,0.00039961344799898974,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.8840579710144928,0.9334989648033126,0.0339873597029081,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,0,100,0.001798868179321289,0.00039982799980422667,0.0003996372222900391,0.0004894536906783155,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.85,0.9,1.0,0.8947368421052632,0.8947368421052632,0.9078947368421053,0.049484881151760675,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,0,100,0.0017988204956054688,0.0003994469854955811,0.0011993408203125,0.0009795497884399886,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.85,0.9,1.0,0.8421052631578947,0.8947368421052632,0.8973684210526315,0.056293650345772384,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
49,0,100,0.001998758316040039,8.064048063892252e-07,0.0007997035980224609,0.00039985192340227706,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.8,0.85,1.0,0.8947368421052632,0.8947368421052632,0.8878947368421052,0.06606468751373978,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
45,0,100,0.0017987728118896485,0.00039966124548996396,0.00019979476928710938,0.00039958953857421875,1000,3,sigmoid,0.0001,"{'C': 1000, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.8,0.85,1.0,0.8947368421052632,0.8947368421052632,0.8878947368421052,0.06606468751373978,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41,0,100,0.0017990589141845704,0.000748125307181843,0.000599527359008789,0.0004895121317013901,100,4,sigmoid,0.0001,"{'C': 100, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.8,0.85,1.0,0.8947368421052632,0.8947368421052632,0.8878947368421052,0.06606468751373978,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
37,0,100,0.0013991355895996093,0.0004894149042094024,0.000999784469604492,0.0006322593093547705,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.8,0.85,1.0,0.8947368421052632,0.8947368421052632,0.8878947368421052,0.06606468751373978,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,0,100,0.0029978275299072264,0.001094930479799742,0.0006000518798828125,0.0004899406873057201,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0,100,0.002398681640625,0.0007992030239159211,0.0007993698120117188,0.00039968567399624965,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0,100,0.0025982379913330076,0.0004899406176931024,0.0006001472473144531,0.0004900184152242392,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0,100,0.0019989490509033205,9.702200865447905e-07,0.00039925575256347654,0.0004889877431076022,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0,100,0.0023985385894775392,0.0004897475670610984,0.0007996559143066406,0.00039982802823816167,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0,100,0.001999092102050781,6.468133910298603e-07,0.0004000663757324219,0.000489979334704009,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0,100,0.001798391342163086,0.0003998282272756502,0.00020012855529785156,0.0004002571105957031,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0,100,0.0027988433837890627,0.00213441246875221,0.0001995563507080078,0.0003991127014160156,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0,100,0.0015990734100341797,0.0004899797059418522,0.0005994319915771484,0.0004894343187334661,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0,100,0.0013990402221679688,0.0004892007172581154,0.0009994983673095703,4.6231077741778654e-07,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0,100,0.0015989780426025391,0.0004888314820053723,0.0007993221282958984,0.00039966167217673305,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0,100,0.0015979290008544921,0.0004894345974719224,0.00039992332458496096,0.0004898047428578048,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",0.8,0.85,1.0,0.8421052631578947,0.8947368421052632,0.8773684210526316,0.06829137508761512,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29,0,100,0.0013992786407470703,0.0004890062818475303,0.0011993885040283204,0.0009794426705365454,10,3,sigmoid,0.0001,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.85,0.9,1.0,0.7894736842105263,0.8421052631578947,0.8763157894736843,0.0710818653310911,40,1.0,1.0,0.975,0.975,0.9875,0.9875,0.011180339887498959
33,0,100,0.0017985820770263672,0.0003994467862681263,0.00099945068359375,6.397441799640054e-07,10,4,sigmoid,0.0001,"{'C': 10, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.85,0.9,1.0,0.7894736842105263,0.8421052631578947,0.8763157894736843,0.0710818653310911,40,1.0,1.0,0.975,0.975,0.9875,0.9875,0.011180339887498959
16,0,100,0.0019979953765869142,1.0810646103624948e-06,0.0010003089904785157,8.34124359347148e-07,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.85,0.9,1.0,0.7894736842105263,0.6842105263157895,0.8447368421052632,0.10584052185473196,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0,100,0.0025977134704589845,0.0011985780800473822,0.0005992889404296875,0.0004893174018269891,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.85,0.9,1.0,0.7894736842105263,0.6842105263157895,0.8447368421052632,0.10584052185473196,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0,100,0.002198028564453125,0.00039956630489021514,0.0008001327514648438,0.000748392129701932,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.8,0.95,1.0,0.7368421052631579,0.5263157894736842,0.8026315789473685,0.16814121488809433,44,1.0,1.0,1.0,1.0,1.0,1.0,0.0
36,0,100,0.0027983665466308595,0.002226237847427317,0.0003998279571533203,0.0004896872457665585,100,3,sigmoid,0.001,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.8,0.5263157894736842,0.7368421052631579,0.5789473684210527,0.628421052631579,0.11879356614455483,45,0.6582278481012658,0.7468354430379747,0.575,0.725,0.6875,0.678512658227848,0.06006028990380912
35,0,100,0.0013992786407470703,0.000490466574323969,0.0003997802734375,0.0004896288627950879,100,3,sigmoid,0.001,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.8,0.5263157894736842,0.7368421052631579,0.5789473684210527,0.628421052631579,0.11879356614455483,45,0.6582278481012658,0.7468354430379747,0.575,0.725,0.6875,0.678512658227848,0.06006028990380912
40,0,100,0.0015990257263183594,0.0004895511891391698,0.0009999752044677734,6.289914111267529e-07,100,4,sigmoid,0.001,"{'C': 100, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.8,0.5263157894736842,0.7368421052631579,0.5789473684210527,0.628421052631579,0.11879356614455483,45,0.6582278481012658,0.7468354430379747,0.575,0.725,0.6875,0.678512658227848,0.06006028990380912
39,0,100,0.0017989635467529296,0.0007479716301657385,0.0003995418548583984,0.0004893368899179901,100,4,sigmoid,0.001,"{'C': 100, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.8,0.5263157894736842,0.7368421052631579,0.5789473684210527,0.628421052631579,0.11879356614455483,45,0.6582278481012658,0.7468354430379747,0.575,0.725,0.6875,0.678512658227848,0.06006028990380912
13,0,100,0.0019988536834716795,8.035802624870642e-07,0.0007994174957275391,0.00039970901451136075,1,,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.55,0.6,0.7368421052631579,0.631578947368421,0.21052631578947367,0.5457894736842105,0.17844822025736035,49,0.7341772151898734,0.7848101265822784,0.8375,0.7625,0.6375,0.7512974683544303,0.06621546392070071
43,0,100,0.0011982440948486329,0.00040045042893370605,0.0008005142211914062,0.00040026066101150133,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.45,0.55,0.47368421052631576,0.6842105263157895,0.47368421052631576,0.5263157894736843,0.08585564125748567,50,0.6455696202531646,0.6962025316455697,0.55,0.675,0.65,0.6433544303797468,0.05011683193752947
44,0,100,0.0015990734100341797,0.0004900768677770249,0.00039973258972167967,0.0004895707236560959,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.45,0.55,0.47368421052631576,0.6842105263157895,0.47368421052631576,0.5263157894736843,0.08585564125748567,50,0.6455696202531646,0.6962025316455697,0.55,0.675,0.65,0.6433544303797468,0.05011683193752947
47,0,100,0.0013989925384521485,0.0004895318907233173,0.00040001869201660155,0.000489920893719676,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.45,0.55,0.47368421052631576,0.6842105263157895,0.47368421052631576,0.5263157894736843,0.08585564125748567,50,0.6455696202531646,0.6962025316455697,0.55,0.675,0.65,0.6433544303797468,0.05011683193752947
48,0,100,0.0011986732482910157,0.00040059181894841657,0.0008000850677490235,0.00040004359602154846,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.45,0.55,0.47368421052631576,0.6842105263157895,0.47368421052631576,0.5263157894736843,0.08585564125748567,50,0.6455696202531646,0.6962025316455697,0.55,0.675,0.65,0.6433544303797468,0.05011683193752947
27,0,100,0.0023987293243408203,0.001495923748796621,0.0003997802734375,0.0004896288395761052,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.3,0.3684210526315789,0.631578947368421,0.15789473684210525,0.3915789473684211,0.1630254131065447,54,0.5569620253164557,0.5443037974683544,0.4875,0.6625,0.525,0.555253164556962,0.05853279052031585
28,0,100,0.0013995647430419921,0.000489843730546795,0.0007993698120117188,0.00039968493444997424,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.3,0.3684210526315789,0.631578947368421,0.15789473684210525,0.3915789473684211,0.1630254131065447,54,0.5569620253164557,0.5443037974683544,0.4875,0.6625,0.525,0.555253164556962,0.05853279052031585
31,0,100,0.001798725128173828,0.0003996373503038124,0.0005994796752929688,0.0004894731594072343,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.3,0.3684210526315789,0.631578947368421,0.15789473684210525,0.3915789473684211,0.1630254131065447,54,0.5569620253164557,0.5443037974683544,0.4875,0.6625,0.525,0.555253164556962,0.05853279052031585
32,0,100,0.0015993118286132812,0.0004902717365831391,0.0005990982055664063,0.0004891617991729983,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.3,0.3684210526315789,0.631578947368421,0.15789473684210525,0.3915789473684211,0.1630254131065447,54,0.5569620253164557,0.5443037974683544,0.4875,0.6625,0.525,0.555253164556962,0.05853279052031585
21,0,100,0.002998638153076172,0.001998877538837483,0.0,0.0,1,3,sigmoid,0.0001,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.2,0.5,0.10526315789473684,0.2631578947368421,0.0,0.21368421052631578,0.16853943208105626,58,0.34177215189873417,0.4936708860759494,0.3625,0.3875,0.375,0.3920886075949367,0.05298918105391536
25,0,100,0.0017989158630371093,0.0003996144152706929,0.00020003318786621094,0.0004000663757324219,1,4,sigmoid,0.0001,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.2,0.5,0.10526315789473684,0.2631578947368421,0.0,0.21368421052631578,0.16853943208105626,58,0.34177215189873417,0.4936708860759494,0.3625,0.3875,0.375,0.3920886075949367,0.05298918105391536
50,0,100,0.0021988391876220704,0.0004007105704764649,0.0007998943328857422,0.0003999472623788005,0.1,,,1,"{'C': 0.1, 'gamma': 1}",0.05,0.3,0.0,0.10526315789473684,0.0,0.09105263157894736,0.11146965849298604,60,0.1518987341772152,0.379746835443038,0.1625,0.1375,0.175,0.20132911392405065,0.09005700850730637
52,0,100,0.0019981861114501953,7.688768146799612e-07,0.0009999752044677734,1.0047582390644778e-06,1,,,1,"{'C': 1, 'gamma': 1}",0.05,0.3,0.0,0.10526315789473684,0.0,0.09105263157894736,0.11146965849298604,60,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,0,100,0.0017993450164794922,0.00039947068146952217,0.00039916038513183595,0.0004888699194270863,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.05,0.25,0.0,0.10526315789473684,0.0,0.08105263157894736,0.09298675925163692,62,0.1518987341772152,0.3037974683544304,0.1625,0.1375,0.175,0.18613924050632913,0.06010747531187156
24,0,100,0.0019977569580078127,1.1018962868014662e-06,0.00020003318786621094,0.0004000663757324219,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.05,0.25,0.0,0.10526315789473684,0.0,0.08105263157894736,0.09298675925163692,62,0.1518987341772152,0.3037974683544304,0.1625,0.1375,0.175,0.18613924050632913,0.06010747531187156
19,0,100,0.001798534393310547,0.0003997807568718266,0.0003996849060058594,0.0004895120388033056,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.05,0.25,0.0,0.10526315789473684,0.0,0.08105263157894736,0.09298675925163692,62,0.1518987341772152,0.3037974683544304,0.1625,0.1375,0.175,0.18613924050632913,0.06010747531187156
20,0,100,0.0023983001708984377,0.001355798491905646,0.000599527359008789,0.0004895120620278284,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.05,0.25,0.0,0.10526315789473684,0.0,0.08105263157894736,0.09298675925163692,62,0.1518987341772152,0.3037974683544304,0.1625,0.1375,0.175,0.18613924050632913,0.06010747531187156
26,0,100,0.0023984909057617188,0.0018536175250557336,0.0003995418548583984,0.0004893369828493258,10,3,sigmoid,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.0,0.0,0.10526315789473684,0.0,0.031052631578947366,0.04185451653067588,66,0.1518987341772152,0.12658227848101267,0.1625,0.1375,0.175,0.15069620253164556,0.017245703133193603
22,0,100,0.0013988018035888672,0.0004893954703311127,0.0007998466491699219,0.0011660895144720738,1,4,sigmoid,0.01,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.0,0.0,0.10526315789473684,0.0,0.031052631578947366,0.04185451653067588,66,0.1518987341772152,0.12658227848101267,0.1625,0.1375,0.175,0.15069620253164556,0.017245703133193603
46,0,100,0.0011988162994384765,0.00039992390734128744,0.0007997989654541015,0.0003998999482492544,1000,4,sigmoid,0.01,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.0,0.0,0.10526315789473684,0.0,0.031052631578947366,0.04185451653067588,66,0.1518987341772152,0.12658227848101267,0.1625,0.1375,0.175,0.15069620253164556,0.017245703133193603
53,0,100,0.0021982669830322267,0.0003995659065541938,0.0007996559143066406,0.00039982808510602566,1,,,10,"{'C': 1, 'gamma': 10}",0.05,0.0,0.0,0.10526315789473684,0.0,0.031052631578947366,0.04185451653067588,66,1.0,1.0,1.0,1.0,1.0,1.0,0.0
38,0,100,0.00139923095703125,0.0004893373313416774,0.0007995128631591797,0.0007482265862344664,100,4,sigmoid,0.01,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.0,0.0,0.10526315789473684,0.0,0.031052631578947366,0.04185451653067588,66,0.1518987341772152,0.12658227848101267,0.1625,0.1375,0.175,0.15069620253164556,0.017245703133193603
34,0,100,0.0009992599487304687,4.6231077741778654e-07,0.00040001869201660155,0.0004899209865402341,100,3,sigmoid,0.01,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.0,0.0,0.10526315789473684,0.0,0.031052631578947366,0.04185451653067588,66,0.1518987341772152,0.12658227848101267,0.1625,0.1375,0.175,0.15069620253164556,0.017245703133193603
18,0,100,0.0013990402221679688,0.0004888120947050958,0.0003994941711425781,0.0004892785302001442,1,3,sigmoid,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.0,0.0,0.10526315789473684,0.0,0.031052631578947366,0.04185451653067588,66,0.1518987341772152,0.12658227848101267,0.1625,0.1375,0.175,0.15069620253164556,0.017245703133193603
30,0,100,0.0013997554779052734,0.0004890070490488611,0.0001998424530029297,0.0003996849060058594,10,4,sigmoid,0.01,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.0,0.0,0.10526315789473684,0.0,0.031052631578947366,0.04185451653067588,66,0.1518987341772152,0.12658227848101267,0.1625,0.1375,0.175,0.15069620253164556,0.017245703133193603
51,0,100,0.0021985054016113283,0.0004006394599899445,0.0008000373840332031,0.0004000197577794822,0.1,,,10,"{'C': 0.1, 'gamma': 10}",0.05,0.0,0.0,0.10526315789473684,0.0,0.031052631578947366,0.04185451653067588,66,0.1518987341772152,0.379746835443038,0.1625,0.1375,0.175,0.20132911392405065,0.09005700850730637
