,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
38,0.0007996082305908204,0.000399804154394406,0.00019989013671875,0.0003997802734375,100,4,sigmoid,0.01,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8833333333333334,0.04082482904638627,28
37,0.001199483871459961,0.0003997089007417436,0.0009994029998779297,0.0006321835470722356,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,30
31,0.0009994983673095703,9.536743164062499e-08,0.000599527359008789,0.0004895121317013902,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,30
32,0.0015990734100341797,0.0007995963998574836,0.0005995750427246094,0.0007993936592027415,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,30
41,0.0011993885040283204,0.0003998757261607768,0.001199483871459961,0.0009796178484751353,100,4,sigmoid,0.0001,"{'C': 100, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,30
28,0.0011991024017333984,0.00039978030187482947,0.0013994216918945313,0.0007993460039322029,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,30
27,0.002998161315917969,0.002605974236852338,0.0003997802734375,0.0004896288395761052,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,30
42,0.0011993408203125,0.0007477931836913128,0.0003998279571533203,0.0004896872921989839,1000,3,sigmoid,0.01,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8083333333333333,0.020412414523193187,36
46,0.000799560546875,0.00039978064312262587,0.0005998611450195312,0.0004897847209466181,1000,4,sigmoid,0.01,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8083333333333333,0.020412414523193187,36
22,0.0009992122650146484,3.371747880871523e-07,0.000999593734741211,1.9073486328125e-07,1,4,sigmoid,0.01,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6916666666666667,0.020412414523193187,38
18,0.0013991355895996093,0.0004899013824479931,0.0007997512817382813,0.0007480351151630684,1,3,sigmoid,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6916666666666667,0.020412414523193187,38
33,0.0013993740081787109,0.0004895120620278284,0.0007994174957275391,0.00039970887229933425,10,4,sigmoid,0.0001,"{'C': 10, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,40
13,0.001999044418334961,0.0006321835506688758,0.0011993408203125,0.0014688865264679768,1,,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,40
15,0.0013990402221679688,0.0004895899369462772,0.0019988059997558595,0.001263876956916364,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,40
29,0.0015993118286132812,0.0011994839709787435,0.0005994796752929688,0.0004894732290863336,10,3,sigmoid,0.0001,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,40
25,0.0011993885040283204,0.00039963729340880707,0.0005995750427246094,0.0004895511194711668,1,4,sigmoid,0.0001,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,40
23,0.00179901123046875,0.00039978035874948246,0.0,0.0,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,40
21,0.0019988536834716795,0.000632108192969228,0.0005997180938720703,0.0004896677809060841,1,3,sigmoid,0.0001,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,40
20,0.0013992786407470703,0.0004895900298295808,0.0005995750427246094,0.0004895511194711668,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,40
19,0.00159912109375,0.0004897262335238861,0.0003996849060058594,0.0004895120620278284,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,40
12,0.0011992454528808594,0.00039982802823816167,0.002598476409912109,0.0028688004099141342,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,40
24,0.00139923095703125,0.000489726187095153,0.0007995128631591797,0.0007479076685595393,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,40
